Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"SB0345","","HB0249","Senator Muse","Changing the interest rate paid on a security deposit at the end of a tenancy under a residential lease when an evicted or ejected tenant makes a timely written demand for return of the security deposit; altering the annual interest rate paid by a mobile home park owner on a security deposit at the end of a tenancy; requiring the Department of Housing and Community Development to maintain on its Web site a specified list or calculator; etc.","Real Property - Residential Leases - Interest on Security Deposits","Returned Passed","1/22/2014","Judicial Proceedings ","2/20/2014"," 1:00 p.m.","","","","3/20/2014 12:00:00 AM","Favorable with Amendments","3/15/2014","Passed with Amendments","3/16/2014","Passed","3/19/2014","Environmental Matters ","4/3/2014"," 1:00 p.m.","","","","4/4/2014","Favorable","3/28/2014","Passed","3/29/2014","Passed","Returned Passed","Yes","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0346","","","Senator Muse","Authorizing the creation of a State Debt not to exceed $150,000, the proceeds to be used as a grant to the Board of Directors of the Southern Friendship Missionary Baptist Church of Maryland, Inc. for specified development or improvement purposes on the Southern Friendship Health and Wellness Campus; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; prohibiting the use of the loan proceeds or matching fund for sectarian religious purposes; etc.","Creation of a State Debt - Prince George's County - Southern Friendship Health and Wellness Campus","Hearing 3/10 at 9:30 a.m.","1/22/2014","Budget and Taxation ","3/10/2014"," 9:30 a.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0347","","HB0840","Senator Muse","Repealing requirements for the holding of specified assets owned by a specified Methodist Church; and repealing provisions of law providing for the effect of the absence of a trust clause in a specified deed or other conveyance executed before a specified date.","Religious Corporations - Laws Governing Assets of United Methodist Church - Repeal","Hearing 2/20 at 1:00 p.m. (Judicial Proceedings)","1/22/2014","Judicial Proceedings ","2/20/2014"," 1:00 p.m.","Budget and Taxation ","","","","","","","","","","","","","","","","","","","","","","","No","","","Corporations and Associations","c1","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0348","","HB1212","Senator Manno","Prohibiting a person from committing a violation of a prohibition against using a text messaging device or a handheld telephone while driving that causes an accident that directly results in the death or serious bodily injury of another; etc.","Use of Text Messaging Device or Handheld Telephone While Driving - Accidents Resulting in Death or Serious Injury - Penalties","Passed Enrolled","1/22/2014","Judicial Proceedings ","2/28/2014"," 1:00 p.m.","","","","3/17/2014 12:00:00 AM","Favorable with Amendments","3/14/2014","Passed with Amendments","3/15/2014","Passed","3/18/2014","Judiciary ","4/1/2014"," 1:00 p.m.","","","","4/2/2014","Favorable with Amendments","3/26/2014","Passed with Amendments","3/27/2014","Passed with Amendments","Passed Enrolled","Yes","","","Vehicle Laws - Rules of the Road","r5","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0349","","HB1372","Senator Astle","Authorizing the creation of a State Debt not to exceed $500,000, the proceeds to be used as a grant to the Board of Directors of The Arc of the Central Chesapeake Region, Inc. for specified development or improvement purposes related to a facility on Moreland Parkway, located in Anne Arundel County; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; establishing a deadline for the encumbrance or expenditure of the loan proceeds; etc.","Creation of a State Debt - Anne Arundel County - The Arc of the Central Chesapeake Region - Moreland Parkway Facility","Hearing 3/08 at 12:00 p.m.","1/22/2014","Budget and Taxation ","3/8/2014","12:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0350","","","Senator Brochin","Altering the standards and requirements for the required warning period for violations recorded by speed monitoring systems; applying notice and signage standards for unmanned local stationary speed monitoring systems to all local speed monitoring systems; requiring the Maryland Police Training Commission to compile and make publicly available on or before December 31 of each year a report containing specified information on each local speed monitoring system program; etc.","Speed Monitoring Systems Reform Act of 2014","Passed Enrolled","1/22/2014","Judicial Proceedings ","2/11/2014"," 1:00 p.m.","","","","3/17/2014 12:00:00 AM","Favorable with Amendments","3/13/2014","Passed with Amendments","3/14/2014","Passed","3/17/2014","Environmental Matters ","3/27/2014"," 1:00 p.m.","","","","3/31/2014","Favorable with Amendments","3/24/2014","Passed with Amendments","3/25/2014","Passed with Amendments","Concurred","Yes","","","Vehicle Laws - Rules of the Road","r5","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0351","","HB1099","Senator Dyson","Authorizing the creation of a State Debt in the amount of $45,000, the proceeds to be used as a grant to the St. Peter Claver Catholic Church Museum of St. Inigoes, Maryland, for specified development or improvement purposes; providing for disbursement of the loan proceeds; prohibiting the use of the loan proceeds or matching fund for sectarian religious purposes; establishing a deadline for the encumbrance or expenditure of the loan proceeds; etc.","Creation of a State Debt - St. Mary's County - St. Peter Claver Museum of St. Inigoes, Maryland","Hearing 3/08 at 1:00 p.m.","1/22/2014","Budget and Taxation ","3/8/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0352","","HB0495","Senator Manno","Authorizing the creation of a State Debt not to exceed $32,500, the proceeds to be used as a grant to the Board of Directors of the Melvin J. Berman Hebrew Academy for specified development or improvement purposes; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; prohibiting the use of the loan proceeds or matching fund for sectarian religious purposes; etc.","Creation of a State Debt - Montgomery County - Melvin J. Berman Hebrew Academy","Unfavorable Report by Budget and Taxation; Withdrawn","1/22/2014","Budget and Taxation ","","","","","","2/10/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0353","","","Senator Manno","Prohibiting a person from carrying or possessing a deadly weapon on public or private school property; and extending specified exceptions that allow the carrying or possession of a deadly weapon on public school property to private school property.","Criminal Law - Deadly Weapons on School Property - Public and Private Schools","Hearing 2/26 at 1:00 p.m.","1/22/2014","Judicial Proceedings ","2/26/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0354","","HB0681","Senator Muse","Requiring the Department of Assessments and Taxation to establish a marketing campaign focusing on reaching renters in high poverty areas and promoting the use of the property tax relief program; authorizing Prince George's County to provide $894,850 to provide additional rent relief for specified residents; etc.","Maryland Renters Tax Credit Program - Marketing Campaign","Returned Passed","1/22/2014","Budget and Taxation ","2/19/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Favorable with Amendments","3/10/2014","Passed with Amendments","3/12/2014","Passed","3/15/2014","Ways and Means ","3/27/2014"," 1:00 p.m.","","","","4/4/2014","Favorable","3/28/2014","Passed","3/29/2014","Passed","Returned Passed","Yes","","","Taxes - Property","q1","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0355","","","Senator Ferguson","Establishing the Task Force to Study the Establishment of Specialized and Accelerated Educational Programs for Adult Learners; providing for the composition, chair, and staffing of the Task Force; prohibiting a member from receiving compensation, but authorizing the reimbursement of specified expenses; establishing the duties of the Task Force; requiring the Task Force to report, on or before December 1, 2014, to the Governor and specified committees of the General Assembly; etc.","Task Force to Study the Establishment of Specialized and Accelerated Educational Programs for Adult Learners","Unfavorable Report by Education, Health, and Environmental Affairs","1/22/2014","Education, Health, and Environmental Affairs ","2/12/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Education - Miscellaneous","f5","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0356","","HB1147","Senator Ferguson","Authorizing a taxicab permit holder to make a fixed charge for any trip by taxicab between specified locations in Baltimore City or between points within Baltimore City as approved by the Public Service Commission; and requiring that a fixed charge made under the Act be calculated on a mileage basis approved by the Commission.","Public Utilities - Fixed Charges for Taxicab Services - Baltimore City","Returned Passed","1/22/2014","Finance ","2/4/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Favorable","2/11/2014","Passed","2/13/2014","Passed","2/14/2014","Economic Matters ","","","","","","3/27/2014","Favorable","3/22/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Utility Regulation","c5","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0357","","HB0620","Senator Feldman","Authorizing the creation of a State Debt not to exceed $200,000, the proceeds to be used as a grant to the Maryland-National Capital Park and Planning Commission for the acquisition, planning, design, construction, repair, renovation, reconstruction, and capital equipping of the Seneca Store, located in Montgomery County; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; etc. ","Creation of a State Debt - Montgomery County - Seneca Store Restoration","Hearing 3/08 at 2:00 p.m.","1/22/2014","Budget and Taxation ","3/8/2014"," 2:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0358","","HB0325","Senator Pinsky","Amending the Maryland Consolidated Capital Bond Loan of 2011 to provide that specified grants for the Riverdale Park Town Hall Expansion may not terminate before June 1, 2015; etc.","Maryland Consolidated Capital Bond Loan of 2011 - Prince George's County - Riverdale Park Town Hall Expansion","Hearing 3/18 at 1:00 p.m.","1/22/2014","Budget and Taxation ","3/18/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Prior Authorizations","b4","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0359","","","Senator Stone","Altering the definition of 'impervious surface' as it relates to watershed protection and restoration programs to exclude gravel that is placed on top of a surface that allows stormwater to infiltrate into the ground.","Watershed Protection and Restoration Programs - Impervious Surface - Definition","Unfavorable Report by Education, Health, and Environmental Affairs","1/22/2014","Education, Health, and Environmental Affairs ","2/4/2014"," 1:00 p.m.","","","","2/13/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Environment","m3","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0360","","","Senator Zirkin","Prohibiting a person from engaging in the hydraulic fracturing of a well for the exploration or production of natural gas in the State.","Natural Gas - Hydraulic Fracturing - Prohibition","Unfavorable Report by Education, Health, and Environmental Affairs","1/22/2014","Education, Health, and Environmental Affairs ","2/4/2014"," 1:00 p.m.","Finance ","","","2/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Environment","m3","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0361","","","Senator Zirkin","Requiring a gas transmission company operating within the State to comply with all applicable federal laws and regulations with respect to gas pipeline safety inspections; authorizing the Public Service Commission to adopt regulations specifying the technology to be used for the inspection of specified gas pipelines located within the State; providing for the jurisdiction and enforcement authority of the Commission; and declaring the intent of the General Assembly.","Public Safety - Gas Pipeline Inspection Requirements - Best Available Technology","Hearing 2/04 at 1:00 p.m.","1/22/2014","Finance ","2/4/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Utility Regulation","c5","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0362","","","Senator Zirkin","Requiring a gas transmission company operating within the State to comply with all applicable federal laws and regulations with respect to gas pipeline safety inspections; authorizing the Public Service Commission, subject to specified provisions of law, to impose a civil penalty of $100,000 per day on a gas transmission company that fails to have a gas pipeline inspected as required by federal law; requiring all penalties collected under the Act to be paid into the General Fund of the State; etc.","Public Safety - Gas Pipeline Inspection Requirements - State Penalties","Hearing 2/04 at 1:00 p.m.","1/22/2014","Finance ","2/4/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Utility Regulation","c5","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0363","","","Senator Zirkin","Authorizing a court to grant an absolute divorce on the ground of the execution of a settlement agreement that resolves issues relating to alimony and property rights care, custody and support of minor or dependent children, and all other relief authorized under the Code arising from marriage.","Family Law - Grounds for Divorce - Settlement Agreement","Hearing 4/01 at 1:00 p.m.","1/22/2014","Judicial Proceedings ","2/4/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Favorable with Amendments","3/8/2014","Passed with Amendments","3/10/2014","Passed","3/10/2014","Judiciary ","4/1/2014"," 1:00 p.m.","","","","","","","","","","","No","","","Family Law","d4","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0364","","","Senator Zirkin","Making the use or possession of less than 10 grams of marijuana a civil rather than a criminal offense; establishing that a person who violates the Act may be issued a citation; establishing fines; requiring a court to order a specified person who has committed a third or subsequent violation of the Act to appear in court and to attend a specified drug education program; requiring a court to refer the person for assessment for substance abuse disorder and to refer the person for substance abuse treatment if necessary; etc.","Criminal Law - Possession of Marijuana - Civil Offense","Passed Enrolled","1/22/2014","Judicial Proceedings ","2/25/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Favorable","3/9/2014","Passed with Amendments","3/11/2014","Passed","3/11/2014","Judiciary ","4/1/2014"," 1:00 p.m.","","","","4/3/2014","Favorable with Amendments","3/27/2014","Passed with Amendments","3/30/2014","Passed with Amendments","Concurred","Yes","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0365","","HB0347","Senator Getty","Reducing the rate of the sales and use tax from 6% to 5% beginning July 1, 2014; etc.","Sales and Use Tax - Rate Reduction","Hearing 2/05 at 1:00 p.m.","1/22/2014","Budget and Taxation ","2/5/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Taxes - Sales and Use","q4","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0366","","HB0348","Senator Getty","Reducing the State income tax rate on the Maryland taxable income of corporations from 8.25% to 7%; and applying the Act to taxable years beginning after December 31, 2013.","Corporate Income Tax - Rate Reduction","Hearing 2/05 at 1:00 p.m.","1/22/2014","Budget and Taxation ","2/5/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Taxes - Income","q3","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0367","","HB0584","Senator Pugh","Requiring the Department of Health and Mental Hygiene and the University of Baltimore jointly to identify the location of each drug abuse treatment program in the State and study and evaluate the economic impact of each program on surrounding businesses and residential neighborhoods; requiring the Department and the University jointly to report their findings under the Act to the Governor and the General Assembly on or before December 1, 2014; and terminating the Act after May 31, 2015.","Drug Abuse Treatment Programs - Locations and Economic Impact Study","Hearing 2/05 at 1:00 p.m.","1/22/2014","Finance ","2/5/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Public Health","j1","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0368","","HB0801","Senator Pugh","Altering the membership of the Commission on Maryland Cybersecurity Innovation and Excellence; requiring the Commission to submit a specified report to the Governor and the General Assembly on or before January 1 of each year; and repealing the termination date of the Commission; etc.","Commission on Maryland Cybersecurity Innovation and Excellence - Membership and Termination Date","Third Reading Passed with Amendments (126-6)","1/22/2014","Finance ","1/28/2014"," 1:00 p.m.","","","","1/30/2014 12:00:00 AM","Favorable","1/31/2014","Passed","2/4/2014","Passed","2/5/2014","Economic Matters ","","","","","","3/31/2014","Favorable with Amendments","3/24/2014","Passed with Amendments","3/25/2014","Passed with Amendments","","No","","","State Government - Agencies, Offices, and Officials","p1","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0369","","HB0352","Senator Stone","Making specified violations for failing to comply with an interim, a temporary, or a final protective order a prior offense for the purposes of determining penalties for a second or subsequent offense for failing to comply with an interim, a temporary, or a final peace order; etc.","Peace Orders and Protective Orders - Penalties - Second or Subsequent Offenses","Returned Passed","1/22/2014","Judicial Proceedings ","2/4/2014"," 1:00 p.m.","","","","2/10/2014 12:00:00 AM","Favorable","2/11/2014","Passed","2/13/2014","Passed","2/14/2014","Judiciary ","3/26/2014"," 1:00 p.m.","","","","4/2/2014","Favorable","3/26/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","Family Law","d4","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0370","","HB0414","Senator Stone","Amending the Maryland Consolidated Capital Bond Loan of 2011 to change the grantee of a grant for Todd's Inheritance from the County Executive and County Council of Baltimore County to the Board of Trustees of the Todd's Inheritance Historic Site, Inc.; etc.","Maryland Consolidated Capital Bond Loan of 2011 - Baltimore County - Todd's Inheritance","Hearing 3/18 at 1:00 p.m.","1/22/2014","Budget and Taxation ","3/18/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Prior Authorizations","b4","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0371","","","Senator Currie","Specifying the amount of the State minimum wage rate that is in effect for specified time periods; requiring the Commissioner of Labor and Industry to set the rate in a specified manner on or after a specified date; requiring that the Commissioner publish the rate in the Maryland Register on or before a specified date every 3 years; altering the age under which specified individuals are exempt from the Maryland Wage and Hour Law; etc.","Labor and Employment - Maryland Wage and Hour Law - Payment of Wages","Hearing 2/17 at 12:00 p.m.","1/22/2014","Finance ","2/17/2014","12:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Private Sector Labor and Industry","k3","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0372","","","Senator Currie","Amending the Maryland Consolidated Capital Bond Loan of 2006 to provide that a specified grant for the White Rose Foundation Service Center, located in Prince George's County, may not terminate before June 1, 2018; etc.","Maryland Consolidated Capital Bond Loan of 2006 - Prince George's County - White Rose Foundation Service Center","Hearing 3/18 at 1:00 p.m.","1/22/2014","Budget and Taxation ","3/18/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Prior Authorizations","b4","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0373","","HB1178","Senator Currie","Authorizing the creation of a State Debt not to exceed $250,000, the proceeds to be used as a grant to the Board of Directors of the Educare Resource Center, Inc. for the acquisition, planning, design, construction, repair, renovation, reconstruction, and capital equipping of the Educare Resource Center, located in Prince George's County; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; etc.","Creation of a State Debt - Prince George's County - Educare Resource Center","Hearing 3/08 at 3:00 p.m.","1/22/2014","Budget and Taxation ","3/8/2014"," 3:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0374","","","Senator Currie","Establishing the Task Force to Study Lottery Revenue; providing for the composition, chair, and staffing of the Task Force; prohibiting a member of the Task Force from receiving specified compensation, but authorizing the reimbursement of specified expenses; requiring the Task Force to report its findings, determinations, and any recommendations to the Governor and the General Assembly on or before January 1, 2015; etc.","State Lottery - Task Force to Study Lottery Revenue","Passed Enrolled","1/22/2014","Budget and Taxation ","3/12/2014"," 1:00 p.m.","Education, Health, and Environmental Affairs ","","","3/21/2014 12:00:00 AM","Favorable with Amendments","3/16/2014","Passed with Amendments","3/17/2014","Passed","3/20/2014","Ways and Means ","4/1/2014"," 1:00 p.m.","","","","4/2/2014","Favorable with Amendments","3/26/2014","Passed with Amendments","3/27/2014","Passed with Amendments","Concurred","Yes","","","Gaming","c7","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0375","","","Senator Currie","Authorizing a person to petition the court to shield specified court records and police records relating to a conviction of the person no earlier than a specified number of years after the person satisfies the sentence imposed for the conviction, including parole, probation, or mandatory supervision; providing that, if the person is convicted of a new crime during a specified time period, the original conviction is not eligible for shielding unless the new conviction becomes eligible for shielding; etc.","Criminal Records - Shielding - Nonviolent Misdemeanor Convictions","Hearing 2/12 at 1:00 p.m.","1/22/2014","Judicial Proceedings ","2/12/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0376","","HB0410","Senator Currie","Authorizing a specified person to file a petition for expungement of a police, court, or other record if the person was convicted of a nonviolent misdemeanor and has never previously been convicted of a crime other than a nonincarcerable traffic violation; specifying the time periods within which a petition for expungement based on a conviction of a nonviolent misdemeanor may not be filed; etc.","Criminal Procedure - Expungement - Misdemeanor Convictions","Hearing 2/12 at 1:00 p.m.","1/22/2014","Judicial Proceedings ","2/12/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0377","","","Senator Conway","Extending to September 30, 2019, the termination provision of specified provisions of law relating to security requirements for procurement.","Procurement - Security Requirements - Extension of Sunset Provision","Hearing 2/06 at 1:00 p.m.","1/23/2014","Education, Health, and Environmental Affairs ","2/6/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Government - Procurement","p2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0378","","","Senator Conway","Including an electric bicycle in the defined term 'bicycle' for the purposes of the Maryland Vehicle Law; defining the term 'electric bicycle' as a vehicle designed to be operated by human power with the assistance of an electric motor and other specified characteristics; and establishing that the definitions of 'moped', 'motorized minibike', and 'motor vehicle' do not include an electric bicycle.","Vehicle Laws - Electric Bicycle - Definition","Passed Enrolled","1/23/2014","Judicial Proceedings ","2/18/2014"," 1:00 p.m.","","","","3/4/2014 12:00:00 AM","Favorable","3/6/2014","Passed","3/7/2014","Passed","3/8/2014","Environmental Matters ","3/25/2014"," 1:00 p.m.","","","","4/3/2014","Favorable with Amendments","3/27/2014","Passed with Amendments","3/28/2014","Passed with Amendments","Concurred","Yes","","","Vehicle Laws - Equipment and Inspections","r6","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0379","","HB0304","Senator Conway","Authorizing the State Acupuncture Board to impose a penalty if the Board finds that there are grounds to take disciplinary action against a licensee; authorizing the State Acupuncture Board and the State Board of Dietetic Practice to issue cease and desist orders or obtain injunctive relief for violations of specified provisions of law; authorizing an acupuncturist, licensed by the Board to practice clinical professional counseling, to provide supervision to an individual performing auricular detoxification; etc.","State Acupuncture Board and State Board of Dietetic Practice - Action and Penalties for Violations of Practice Acts and Supervisory Authority of Acupuncturists","Passed Enrolled","1/23/2014","Education, Health, and Environmental Affairs ","2/5/2014"," 1:00 p.m.","","","","2/20/2014 12:00:00 AM","Favorable with Amendments","2/21/2014","Passed with Amendments","2/25/2014","Passed","2/26/2014","Health and Government Operations ","3/20/2014"," 1:00 p.m.","","","","3/31/2014","Favorable with Amendments","3/25/2014","Passed with Amendments","3/26/2014","Passed with Amendments","Concurred","Yes","","","Health Occupations","j2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0380","CH0056","HB0302","Senator Conway","Authorizing the State Board of Podiatric Medical Examiners to issue cease and desist orders or obtain injunctive relief for a violation of specified provisions of law; and requiring the Board to assess specified fines in accordance with regulations; etc.","State Board of Podiatric Medical Examiners - Cease and Desist Orders and Fines","Approved by the Governor - Chapter 56","1/23/2014","Education, Health, and Environmental Affairs ","2/5/2014"," 1:00 p.m.","","","","2/20/2014 12:00:00 AM","Favorable with Amendments","2/21/2014","Passed with Amendments","2/25/2014","Passed","2/26/2014","Health and Government Operations ","3/20/2014"," 1:00 p.m.","","","","3/24/2014","Favorable","3/20/2014","Passed","3/21/2014","Passed","Returned Passed","Yes","","","Health Occupations","j2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0381","","HB0401","Senator Conway","Requiring applicants to the State Board of Chiropractic and Massage Therapy Examiners and the State Board of Physical Therapy Examiners to submit to a criminal history records check as a condition of licensure or registration; requiring the Boards to consider specified factors in determining whether to grant a license or registration on receipt of the criminal history record information; prohibiting the Boards from issuing a license or registration if the criminal history record information has not been received; etc.","Health Occupations - Chiropractors, Massage Therapists, Physical Therapists, and Physical Therapist Assistants - Criminal History Records Checks Required","Hearing 3/18 at 1:00 p.m.","1/23/2014","Education, Health, and Environmental Affairs ","2/5/2014"," 1:00 p.m.","","","","2/13/2014 12:00:00 AM","Favorable","2/14/2014","Passed","2/18/2014","Passed","2/19/2014","Health and Government Operations ","3/18/2014"," 1:00 p.m.","","","","","","","","","","","No","","","Health Occupations","j2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0382","","HB0918","Senator Conway","Requiring a person to have a specified license before doing business as a buyer of personal property by means of an automated purchasing machine in the State; requiring applicants for a buyer license and a specified resident agent of an applicant or a licensee to apply for a national and State criminal history records check; requiring a buyer to ensure that each automated purchasing machine that the buyer owns or operates in the State meets specified requirements; etc.","Business Regulation - Automated Purchasing Machines - Licensing of Buyers and Required Records","Returned Passed","1/23/2014","Finance ","2/20/2014"," 1:00 p.m.","","","","3/31/2014 12:00:00 AM","Favorable with Amendments","3/22/2014","Passed with Amendments","3/23/2014","Passed","3/25/2014","Economic Matters ","","","","","","4/4/2014","Favorable","3/28/2014","Passed","3/31/2014","Passed","Returned Passed","Yes","","","Business Regulation and Occupations","c2","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0383","","HB0343","Senator Edwards","Repealing the requirement that the Chair of the Board of County Commissioners of Allegany County or any county commissioner serve as an ex officio member of the Allegany County Board of Education; repealing the requirement that the Chair or Vice Chair of the Board of County Commissioners of Garrett County serve as an ex officio member of the Garrett County Board of Education; making conforming changes; and making stylistic changes.","Allegany County and Garrett County - Boards of Education - Removal of Ex Officio Member","Returned Passed","1/23/2014","Education, Health, and Environmental Affairs ","2/12/2014"," 1:00 p.m.","","","","2/20/2014 12:00:00 AM","Favorable","2/21/2014","Passed","2/25/2014","Passed","2/26/2014","Ways and Means ","3/19/2014"," 1:00 p.m.","","","","4/4/2014","Favorable","3/28/2014","Passed","3/29/2014","Passed","Returned Passed","Yes","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0384","","HB0170","Senator Brinkley","Reducing the State corporate income tax rate from 8.25% to 6% beginning in tax year 2014.","Corporate Income Tax - Rate Reduction","Unfavorable Report by Budget and Taxation","1/23/2014","Budget and Taxation ","2/5/2014"," 1:00 p.m.","","","","3/17/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Taxes - Income","q3","2014 Regular Session","4/9/2014 6:00:56 PM"
"SB0385","","HB0171","Senator Brinkley","Providing a subtraction modification under the Maryland corporate income tax for specified dividends included in federal taxable income as a result of a specified repatriation holiday enacted by federal legislation; requiring the Comptroller to provide for the administration of the Act if specified federal legislation is enacted; etc.","Corporate Income Tax - Federal Repatriation Holiday","Unfavorable Report by Budget and Taxation","1/23/2014","Budget and Taxation ","2/5/2014"," 1:00 p.m.","","","","2/17/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Taxes - Income","q3","2014 Regular Session","4/9/2014 6:00:56 PM"
